grid_id,mean_annual_mm_day,mean_winter_mm_day,wet_days_per_year,max_daily_mm
0,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
1,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
2,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
3,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
4,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
5,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
6,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
7,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
8,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
9,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
10,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
11,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
12,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
13,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
14,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
15,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
16,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
17,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
18,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
19,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654
20,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
21,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
22,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
23,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
24,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
25,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
26,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
27,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
28,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017
